id,spanish,english,en_options,es_options,pronunciation,image,field_for_search,description
1,Enfermera,Nurse,Nurse Doctor Lawye,Enfermera Cocinero Niñera,nurs,,,
2,Cocinero,Cook,Concierge Cook Worke,Cocinero Curso Bueno,cuk,,,
3,Hotel,Hotel,House Farm Hotel,Casa Hotel Motel,joudel,,,
4,Conserge,Concierge,Worker Aircraft Concierge,Conocido Conserge Compañero,kansiege,,,
5,Conductor,Driver,Driver Aicraft Taxi,Driver Aicraft Taxi,draiver,,,
6,Abogado,Lawyer,Lawyer Doctor Teacher,Lawyer Doctor Teacher,louyer,,,
7,Trabajador,Worker,Vegetation Game Worker,Vegetation Game Worker,worker,,,
8,Selva,Jungle,Event  Reach Jungle ,Event  Reach Jungle ,yugel,,,
9,Vegetación,Vegetation,Vegetation Tree Forest ,Vegetation Tree Forest ,vegetechon,,,
10,Nunca,Never,Never Deliver Cure ,Never Deliver Cure ,neva,,,
11,Avión,Airplane,Go Airplane Car,Go Airplane Car,eiplein,,,
12,Rústico,Rustic,Rich Creative Rustic,Rich Creative Rustic,rastik,,,
13,Venir,Come,Come Make Go,Come Make Go,com,,,
14,Profesor,Teacher,Varius Pretend Teacher,Varius Pretend Teacher,ticher,,,
15,médico,Doctor,Event Create Doctor,Event Create Doctor,doctha,,,
16,Conocer,Meet,Meet Quick Event,Meet Quick Event,mit,,,
17,Cura,Cure,Create Look-for Cure,Create Look-for Cure,kiue,,,
18,Buscar,Look-for,Meet Doctor Look-for,Meet Doctor Look-for,luk for,,,
19,Juego,Game,Ball Play Game,Ball Play Game,geim,,,
20,Causa,Cause,Go Deliver Cause,Go Deliver Cause,kez,,,
21,Rápido,Quick,Quick Flash Run,Quick Flash Run,kuik,,,
22,Alcanzar,Reach,Make Reach Meet ,Make Reach Meet ,ritch,,,
23,Evento,Event,Event Pretend Quick,Event Pretend Quick,ivent,,,
24,Crear,Create,Make Grow Create ,Make Grow Create ,crieit,,,
25,Hacer,Make,Make History Reach,Make History Reach,meik,,,
26,Bosque ,Forest,Forest Jungle Deserts,Forest Jungle Deserts,farist,,,
27,Sentir,Feel,Pretend Feel Rich,Pretend Feel Rich,fiil,,,
28,Historia,History,Book Library History,Book Library History,jistori,,,
29,Pretender,Pretend,Pretty Pretend Concierge,Pretty Pretend Concierge,pritenb,,,
30,Crecer,Grow,Rarely Nurse Grow ,Rarely Nurse Grow ,grou,,,
31,Varios,Several,Go Rarely Several,Go Rarely Several,several,,,
32,Desierto,Desert,Coast Guest Desert,Coast Guest Desert,disert,,,
33,Raro,Rare,Creative Rich Rare,Creative Rich Rare,rei,,,
34,Ir,Go,Go Deliver Run,Go Deliver Run,gou,,,
35,Rico,Rich,Create Penniless Rich,Create Penniless Rich,rich,,,
36,Creativo,Creative,Creative Lawyer Desing,Creative Lawyer Desing,crietiv,,,
37,Huesped,Guest,Concierge Guest Deliver,Concierge Guest Deliver,uest,,,
38,Entregar,Deliver,English Grow Deliver,English Grow Deliver,diliveri,,,
39,Costa,Coast,Coach Rarely Coast,Coach Rarely Coast,kaust,,,
